iris_1,iris_2,iris_3,iris_4,len_1,len_2,len_3,error,Goal_Met
7.922358138,5.337012386,4.75681176,4.662366193,9.00461175,10.28942876,10.50184468,11.3643025,Yes
7.922358138,5.337012386,4.75681176,4.662366193,9.00461175,10.28942876,10.50184468,11.52933341,Yes
7.921833494,5.339175381,4.756385398,4.662150593,9.006304011,10.28981731,10.50195259,11.30706315,Yes
7.921833494,5.339175381,4.756385398,4.662150593,9.006304011,10.28981731,10.50195259,11.32754442,Yes
7.921958595,5.339288163,4.755858517,4.662202003,9.005900492,10.28972466,10.50192686,11.29621379,Yes
7.922036958,5.339358809,4.755528481,4.662234206,9.00564773,10.28966662,10.50191074,11.29503006,Yes
7.922036958,5.339358809,4.755528481,4.662234206,9.00564773,10.28966662,10.50191074,11.30696492,Yes
7.922160456,5.339470145,4.75558976,4.661703549,9.005249383,10.28957516,10.50188534,11.29279836,Yes
7.922127111,5.339440084,4.755573215,4.661846828,9.005356938,10.28959986,10.5018922,11.2924712,Yes
7.922127111,5.339440084,4.755573215,4.661846828,9.005356938,10.28959986,10.5018922,11.29892018,Yes
7.922127111,5.339440084,4.755573215,4.661846828,9.005356938,10.28959986,10.5018922,11.29849773,Yes
7.922127993,5.339440879,4.755573652,4.661851051,9.00534608,10.2895992,10.50189202,11.29246736,Yes
7.922127993,5.339440879,4.755573652,4.661851051,9.00534608,10.2895992,10.50189202,14.9619507,No
7.922127993,5.339440879,4.755573652,4.661851051,9.00534608,10.2895992,10.50189202,12.11605739,Yes
7.92230197,5.339597724,4.755659979,4.662684104,9.00484732,10.28782733,10.50185623,11.04464149,Yes
7.926554503,5.342237028,4.756146228,4.663184923,9.001689614,10.28663355,10.50165389,10.78700351,Yes
7.926554503,5.342237028,4.756146228,4.663184923,9.001689614,10.28663355,10.50165389,11.32807332,Yes
7.966903998,5.367279656,4.760759927,4.667936866,8.971728216,10.27530651,10.49973394,9.577175501,Yes
7.966903998,5.367279656,4.760759927,4.667936866,8.971728216,10.27530651,10.49973394,14.18930994,Yes
7.966903998,5.367279656,4.760759927,4.667936866,8.971728216,10.27530651,10.49973394,9.974654637,Yes
7.966841022,5.36724057,4.760752726,4.667929449,8.971774978,10.27532419,10.49703092,9.172408217,Yes
7.973266826,5.367329207,4.760769056,4.667946268,8.971668932,10.2752841,10.49687774,9.168398892,Yes
7.973266826,5.367329207,4.760769056,4.667946268,8.971668932,10.2752841,10.49687774,9.647333421,Yes
7.970108633,5.367285643,4.76076103,4.667938002,8.971721052,10.27530381,10.49695302,9.112294574,Yes
7.970108633,5.367285643,4.76076103,4.667938002,8.971721052,10.27530381,10.49695302,10.12563293,Yes
7.970108633,5.367285643,4.76076103,4.667938002,8.971721052,10.27530381,10.49695302,9.588209719,Yes
7.970098396,5.366126141,4.760758097,4.667934982,8.971740094,10.27531101,10.49698053,9.095930622,Yes
7.970112703,5.366144393,4.762364534,4.667939203,8.97171348,10.27530094,10.49694209,8.823757752,Yes
7.970112703,5.366144393,4.762364534,4.667939203,8.97171348,10.27530094,10.49694209,9.448163308,Yes
7.970154189,5.366197318,4.767022586,4.667951442,8.971636309,10.27527177,10.49683062,8.514284623,Yes
7.970154189,5.366197318,4.767022586,4.667951442,8.971636309,10.27527177,10.49683062,8.535259965,Yes
7.970154189,5.366197318,4.767022586,4.667951442,8.971636309,10.27527177,10.49683062,8.558894241,Yes
