iris_1,iris_2,iris_3,iris_4,error,Goal_Met
8.290185669537601,5.5811989792719725,4.8876737078160835,4.758695885368184,2.743708816754829,No
8.290185669537601,5.5811989792719725,4.8876737078160835,4.758695885368184,2.8052709697333578,No
8.289367902383264,5.580644391504417,4.887736865331517,4.758492455994365,2.742140155932998,No
8.289367902383264,5.580644391504417,4.887736865331517,4.758492455994365,2.8965907846787524,No
8.289367902383264,5.580644391504417,4.887736865331517,4.758492455994365,3.1127743627542968,No
8.28927185488663,5.580579254666316,4.887744283239193,4.758468563029243,2.739274187194913,No
8.289144184080461,5.580492671747206,4.887754143467582,4.75843680338713,2.7146273472338818,No
8.289144184080461,5.580492671747206,4.887754143467582,4.75843680338713,2.794013913369266,No
8.289103453842849,5.580465049591644,4.887757289131476,4.758426671252708,2.7134747058680375,No
8.289103453842849,5.580465049591644,4.887757289131476,4.758426671252708,2.723920831466878,No
8.288420959394852,5.580585171414692,4.887743609428574,4.7584707333627545,2.7060427543341246,No
8.287079402125677,5.5808212909983315,4.887716719678889,4.758557344827804,2.702651726416166,No
8.287079402125677,5.5808212909983315,4.887716719678889,4.758557344827804,2.71804743169776,No
8.287112860925818,5.580132899834105,4.887700788462176,4.758608659028779,2.6941757009273584,No
8.287137115740524,5.579633874164805,4.887689239670594,4.758645857506646,2.693658953197869,No
8.287110778441743,5.57950589663438,4.888371628862718,4.7586054652201,2.6869830514610396,No
8.287110778441743,5.57950589663438,4.888371628862718,4.7586054652201,2.7034142535966983,No
8.28706684983353,5.579292439861872,4.889509802056578,4.758538093962883,2.684391183285415,No
8.28706684983353,5.579292439861872,4.889509802056578,4.758538093962883,2.6987535355761287,No
8.28709676672861,5.579437811275328,4.889456114706756,4.757862528315799,2.681576372155768,No
8.287089100778067,5.5794005610839905,4.889469871634654,4.758035636281231,2.6811634843671888,No
8.28298121103135,5.5767943530086646,4.890714613380652,4.757079309913419,2.6594097617796644,No
8.28298121103135,5.5767943530086646,4.890714613380652,4.757079309913419,2.7226688953962546,No
8.280510889828182,5.575227083323909,4.891463151466433,4.756504213343351,2.6563349636354707,No
8.280510889828182,5.575227083323909,4.891463151466433,4.756504213343351,2.660904506768633,No
8.280510889828182,5.575227083323909,4.891463151466433,4.756504213343351,2.656440646677367,No
8.28055829949858,5.575257161897936,4.8914487857459426,4.7565152504258155,2.655787712151466,No
8.280458435707986,5.575193804350989,4.891479045718028,4.756492001901141,2.609972327388344,No
8.280458435707986,5.575193804350989,4.891479045718028,4.756492001901141,2.7320102333197847,No
8.280357899702294,5.575130020324141,4.891509509379659,4.756468596883216,2.595014882544672,No
8.280357899702294,5.575130020324141,4.891509509379659,4.756468596883216,2.595643877683832,No
8.280357899702294,5.575130020324141,4.891509509379659,4.756468596883216,2.6253849583239464,No
8.280308170505588,5.575098470150688,4.891524577945503,4.756457019809586,2.591120722171401,No
8.280308170505588,5.575098470150688,4.891524577945503,4.756457019809586,2.5944218000509904,No
8.27961900506549,5.575186308675736,4.891482625700758,4.756489251425476,2.590445724556944,No
8.279786447340058,5.575164967091302,4.891492818578803,4.756481420308645,2.5902367154508448,No
8.279786447340058,5.575164967091302,4.891492818578803,4.756481420308645,2.6023641365520835,No
8.27982188608142,5.5744728310587774,4.891447003357843,4.756516619822112,2.585872791528616,No
8.279824087110995,5.574429843869618,4.891444157865805,4.756518805993721,2.58580903196553,No
8.279796906779712,5.574308705740789,4.89213127996502,4.7564918091422435,2.5840894131729146,No
8.279796906779712,5.574308705740789,4.89213127996502,4.7564918091422435,2.5908781784422743,No
8.279796906779712,5.574308705740789,4.89213127996502,4.7564918091422435,2.5840960735626157,No
8.275807521928376,5.571520957136426,4.893601302053808,4.755646778183681,2.5576309126003496,No
8.275807521928376,5.571520957136426,4.893601302053808,4.755646778183681,2.6299364828190486,No
8.272353323899402,5.569108377054558,4.894866264963771,4.7549153567184765,2.556207525832628,No
8.272353323899402,5.569108377054558,4.894866264963771,4.7549153567184765,2.5784843105434705,No
8.27243907846415,5.569168272217807,4.894834860758553,4.754220888256459,2.5427750623569474,No
8.272526442387202,5.569229291435252,4.894802867189741,4.753513386685472,2.5370481168543697,No
8.27243747740536,5.569167153960396,4.894835447082779,4.75351707574528,2.5208670761345218,No
8.27243747740536,5.569167153960396,4.894835447082779,4.75351707574528,2.560363970776688,No
8.27228019624067,5.569057301137253,4.8948930450659,4.753523597633006,2.4988805222980757,No
8.27228019624067,5.569057301137253,4.8948930450659,4.753523597633006,2.500313143534363,No
8.27228019624067,5.569057301137253,4.8948930450659,4.753523597633006,2.53611351711986,No
8.272240984727642,5.569029913907419,4.894907404726003,4.753525223594297,2.496250819184014,No
8.272240984727642,5.569029913907419,4.894907404726003,4.753525223594297,2.504496617552824,No
8.272240984727642,5.569029913907419,4.894907404726003,4.753525223594297,2.518502384056558,No
8.272220656481426,5.569015715670519,4.894914849139227,4.753526066534007,2.4959030675377822,No
8.272220656481426,5.569015715670519,4.894914849139227,4.753526066534007,2.8964170364219144,No
8.272220656481426,5.569015715670519,4.894914849139227,4.753526066534007,2.623276343966105,No
8.272220656481426,5.569015715670519,4.894914849139227,4.753526066534007,2.500582226645227,No
8.271605910789335,5.569086223490268,4.8948778805106965,4.753521880532491,2.494092584592919,No
8.271605910789335,5.569086223490268,4.8948778805106965,4.753521880532491,2.547984232391522,No
8.271605910789335,5.569086223490268,4.8948778805106965,4.753521880532491,2.511874174376209,No
8.271626411978463,5.5684854167344575,4.894838461899793,4.753517417116574,2.4887872497712564,No
8.271626411978463,5.5684854167344575,4.894838461899793,4.753517417116574,2.6188202217490346,No
8.271626411978463,5.5684854167344575,4.894838461899793,4.753517417116574,2.5293350624632756,No
8.271626411978463,5.5684854167344575,4.894838461899793,4.753517417116574,2.4988164428492414,No
8.271626411978463,5.5684854167344575,4.894838461899793,4.753517417116574,2.489707511988231,No
8.271626411978463,5.5684854167344575,4.894838461899793,4.753517417116574,2.5552196325330616,No
8.27142320668794,5.568340621807841,4.892409424376394,4.753443447831979,2.483986996364649,No
8.271610554428342,5.568474117359328,4.893356811616201,4.753511644768645,2.4819666491535832,No
8.271610554428342,5.568474117359328,4.893356811616201,4.753511644768645,2.5249347029741593,No
8.271610554428342,5.568474117359328,4.893356811616201,4.753511644768645,2.503780754316144,No
8.271548241157419,5.568429715732443,4.893403427426288,4.75312723800469,2.4803174081870876,No
8.271649539714357,5.568501896516126,4.893327647191638,4.753165355143634,2.475933279143077,No
8.271649539714357,5.568501896516126,4.893327647191638,4.753165355143634,2.490802765306944,No
8.271671680034977,5.568517672710195,4.893311084283512,4.75317368621668,2.4751816317383404,No
8.271671680034977,5.568517672710195,4.893311084283512,4.75317368621668,2.4809051338750505,No
